AREACD,Totalexport,Totalimport,Goodsexport,Goodsimport,Servicesexport,Servicesimport,topServicesimported,topServicesexported,topGoodsimported,topGoodsexported
IL,2318,1693,1120,1025,1198,668,Other Business Services,Travel,Mineral manufactures,Medicinal & pharmaceutical products
IN,7965,12509,5513,7740,2452,4769,Other Business Services,Travel,Clothing,Non-ferrous metals
IO,0,0,0,0,0,0,null,null,Live animals,Live animals
IQ,535,28,338,2,197,26,null,null,Mechanical power generators (intermediate),Medicinal & pharmaceutical products
IR,333,101,148,13,185,88,Travel,Travel,Iron & steel,Medicinal & pharmaceutical products
IS,487,1036,261,468,226,568,Travel,Travel,Fish & shellfish,Cars
IT,19717,24812,10700,19172,9017,5640,Travel,Travel,Clothing,Cars
JE,4209,4628,0,0,4209,4628,null,null,Live animals,Live animals
JM,41,227,22,22,19,205,null,null,Beverages,Cars
JO,309,44,195,13,114,31,null,null,Vegetables & fruit,Cars
JP,14290,15198,7008,9864,7282,5334,Financial,Financial,Mechanical power generators (intermediate),Cars
KE,621,712,327,439,294,273,null,null,"Coffee, tea, cocoa etc",Mechanical power generators (intermediate)
KG,6,3,1,0,5,3,null,null,Live animals,Mechanical power generators (intermediate)
KH,60,901,27,873,33,28,null,null,Clothing,Cars
KI,0,0,0,0,0,0,null,null,Live animals,Live animals
KM,0,0,0,0,0,0,null,null,Live animals,Live animals
KN,7,5,0,0,7,5,null,null,Live animals,Live animals
KP,25,11,0,0,25,11,null,null,Live animals,Live animals
KR,9782,4792,6337,4150,3445,642,Other Business Services,Other Business Services,Cars,Crude oil
KW,2547,829,509,750,2038,79,null,null,Refined oil,Cars
KY,1940,272,3,0,1937,272,null,null,Live animals,Ships
KZ,2223,551,273,339,1950,212,null,null,Non-ferrous metals,"Plumbing, heating & lighting fixtures (intermediate)"
LA,17,13,6,11,11,2,null,null,Clothing,Cars
LB,486,117,294,1,192,116,null,null,Photographic & optical goods & clocks (consumer),Medicinal & pharmaceutical products
LC,8,145,3,3,5,142,null,null,Vegetables & fruit,Mechanical power generators (intermediate)
LI,104,51,14,3,90,48,Manufacturing,Other Business Services,Mineral manufactures,Miscellaneous electrical goods (intermediate)
LK,357,899,247,664,110,235,null,null,Clothing,Cars
LR,40,8,5,6,35,2,null,null,Metal ores & scrap,Meat & meat preparations
LS,4,0,1,0,3,0,null,null,Live animals,Other manufactures (consumer)
LT,576,1196,364,810,212,386,Travel,Travel,Furniture (consumer),Office machinery (capital)
LU,3671,3070,152,357,3519,2713,"Telecommunications, computer & information services",Other Business Services,Iron & steel,Plastics in non-primary forms
LV,478,942,282,709,196,233,Travel,Travel,Wood & cork,Beverages
LY,218,662,100,632,118,30,null,null,Crude oil,Medicinal & pharmaceutical products
MA,1026,1195,673,659,353,536,Travel,Transportation,Vegetables & fruit,Cars
MD,65,531,30,37,35,494,null,null,Clothing,Textile fabrics
ME,10,57,10,1,0,56,Travel,Manufacturing,Iron & steel,Ships
MG,14,32,2,29,12,3,null,null,Clothing,Textile fabrics
MH,420,40,0,0,420,40,null,null,Live animals,Live animals
MK,1543,507,904,61,639,446,null,null,Furniture (intermediate),Non-ferrous metals
ML,70,3,49,0,21,3,null,null,Live animals,Aircraft
MM,105,339,25,265,80,74,null,null,Clothing,Metal working machinery (intermediate)
MN,29,10,11,1,18,9,null,null,Clothing,Cars
MO,91,7,48,1,43,6,null,null,Clothing,"Travel goods, handbags etc"
MP,4,0,0,0,4,0,null,null,Live animals,Live animals
MR,8,3,2,1,6,2,null,null,Specialised machinery (intermediate),Miscellaneous foods
MS,1,0,1,0,0,0,null,null,Live animals,Metal ores & scrap
MT,989,703,540,66,449,637,Travel,Travel,Medicinal & pharmaceutical products,Ships
MU,365,676,33,134,332,542,null,null,Fish & shellfish,Medicinal & pharmaceutical products
MV,12,131,3,15,9,116,null,null,Fish & shellfish,Ships
MW,23,34,4,11,19,23,null,null,"Coffee, tea, cocoa etc",Road vehicles other than cars (capital)
MX,2221,2200,1622,1205,599,995,Travel,Other Business Services,Mechanical power generators (intermediate),Mechanical power generators (intermediate)
MY,2371,2406,1346,2005,1025,401,Travel,Travel,Miscellaneous electrical goods (intermediate),Cars
MZ,111,128,12,103,99,25,null,null,Non-ferrous metals,General industrial machinery (intermediate)
NA,68,36,41,30,27,6,null,null,Wood & cork,Road vehicles other than cars (capital)
NC,16,7,12,7,4,0,null,null,Non-ferrous metals,Cars
NE,24,1,0,1,24,0,null,null,Mechanical power generators (intermediate),Live animals
NF,0,0,0,0,0,0,null,null,Live animals,Live animals
NG,2674,2797,1624,2413,1050,384,null,null,Crude oil,Refined oil
NI,6,38,1,37,5,1,null,null,Oil-seeds & oleaginous fruits,Miscellaneous electrical goods (capital)
NL,43992,49083,26487,42175,17505,6908,Other Business Services,Other Business Services,Medicinal & pharmaceutical products,Crude oil
NO,6517,21706,3636,20168,2881,1538,Other Business Services,Other Business Services,Crude oil,Cars
NP,79,83,0,10,79,73,null,null,Clothing,Live animals
NR,0,0,0,0,0,0,null,null,Live animals,Live animals
NU,5,0,5,0,0,0,null,null,Live animals,Miscellaneous metal manufactures
NZ,1444,1333,874,819,570,514,Travel,Travel,Meat & meat preparations,Cars
OM,1617,224,1059,154,558,70,null,null,Mechanical power generators (intermediate),Aircraft
PA,235,62,160,19,75,43,null,null,Vegetables & fruit,Beverages
PE,180,523,119,380,61,143,null,null,Vegetables & fruit,Beverages
PF,148,0,0,0,148,0,null,null,Live animals,Live animals
PG,99,86,2,80,97,6,null,null,Vegetable oils & fats,General industrial machinery (capital)
PH,706,1013,512,530,194,483,Travel,Other Business Services,Miscellaneous electrical goods (intermediate),Miscellaneous electrical goods (intermediate)
PK,1182,1897,722,1231,460,666,Travel,Travel,Clothing,Metal ores & scrap
PL,7292,13343,5281,10694,2011,2649,Travel,Travel,Road vehicles other than cars (intermediate),Cars
PN,0,0,0,0,0,0,null,null,Live animals,Live animals
PS,19,18,4,0,15,18,null,null,Live animals,Cars
PT,2813,5896,1459,3040,1354,2856,Travel,Transportation,Cars,Cars
PW,0,0,0,0,0,0,null,null,Live animals,Live animals
PY,34,26,30,19,4,7,null,null,Animal feeding stuffs,Beverages
QA,3417,1672,2468,1488,949,184,null,null,Refined oil,Mechanical power generators (intermediate)
RO,2021,3421,1220,2333,801,1088,Travel,Travel,Cars,Textile fabrics
RS,279,294,107,192,172,102,Travel,Travel,Miscellaneous electrical goods (intermediate),Medicinal & pharmaceutical products
RU,5421,9229,2751,8460,2670,769,Financial,Financial,Refined oil,Cars
RW,18,6,7,2,11,4,null,null,"Coffee, tea, cocoa etc",Road vehicles other than cars (capital)
SA,6041,3744,3723,3330,2318,414,Travel,Travel,Refined oil,Aircraft
SB,60,0,0,0,60,0,null,null,Live animals,Live animals
SC,69,71,49,66,20,5,null,null,Fish & shellfish,Crude oil
SD,136,15,59,10,77,5,null,null,Other crude animal & vegetable materials,Refined oil
SE,10484,10440,5565,7112,4919,3328,Other Business Services,Other Business Services,Refined oil,Crude oil
SG,8453,4222,5025,2211,3428,2011,Other Business Services,Other Business Services,Mechanical power generators (intermediate),Mechanical power generators (intermediate)
SH,13,0,9,0,4,0,null,null,Live animals,Refined oil
SI,369,423,212,327,157,96,Travel,Financial,Miscellaneous electrical goods (intermediate),Refined oil
SK,880,2632,494,2277,386,355,Travel,Travel,Cars,Road vehicles other than cars (intermediate)
SL,30,13,5,0,25,13,null,null,Live animals,Specialised machinery (capital)
SM,11,0,4,0,7,0,null,null,Live animals,Other manufactures (capital)
SN,327,91,190,36,137,55,null,null,Vegetables & fruit,Refined oil
SO,40,32,2,0,38,32,null,null,Live animals,Miscellaneous foods
SR,7,5,3,0,4,5,null,null,Live animals,Beverages
SS,5,2,0,0,5,2,null,null,Live animals,Live animals
ST,0,0,0,0,0,0,null,null,Live animals,Live animals
SV,24,14,18,11,6,3,null,null,Sugar,Miscellaneous electrical goods (intermediate)
SX,3,9,0,0,3,9,null,null,Live animals,Live animals
SY,37,4,4,3,33,1,null,null,Vegetables & fruit,Specialised machinery (capital)
SZ,13,56,0,7,13,49,null,null,Sugar,Live animals
TC,6,2,2,2,4,0,null,null,Mechanical power generators (intermediate),Furniture (consumer)
TD,25,4,17,0,8,4,null,null,Live animals,Other chemicals
TF,0,0,0,0,0,0,null,null,Live animals,Live animals
TG,111,10,61,2,50,8,null,null,Mechanical power generators (intermediate),Refined oil
TH,2228,4047,1542,3028,686,1019,Travel,Travel,Meat & meat preparations,Miscellaneous electrical goods (capital)
TJ,7,8,2,0,5,8,null,null,Live animals,Specialised machinery (capital)
TK,0,0,0,0,0,0,null,null,Live animals,Live animals
TL,0,0,0,0,0,0,null,null,Live animals,Live animals
TM,26,7,17,2,9,5,null,null,Metal ores & scrap,Inorganic chemicals
TN,199,179,127,123,72,56,null,null,Clothing,Refined oil
TO,2,0,0,0,2,0,null,null,Live animals,Live animals
TR,6498,11260,5231,9586,1267,1674,Travel,Other Business Services,Clothing,Mechanical power generators (intermediate)
TT,200,213,110,158,90,55,null,null,Gas,Refined oil
TV,2,0,0,0,2,0,null,null,Live animals,Live animals
TW,2763,3794,1368,3512,1395,282,Other Business Services,Financial,Telecoms & sound equipment (capital),Beverages
TZ,145,98,73,12,72,86,null,null,"Coffee, tea, cocoa etc",Road vehicles other than cars (capital)
UA,697,622,487,497,210,125,Travel,Travel,Iron & steel,Medicinal & pharmaceutical products
UG,112,144,6,4,106,140,null,null,Vegetables & fruit,Road vehicles other than cars (capital)
UM,26,1,0,0,26,1,null,null,Live animals,Live animals
US,118152,72363,54908,41937,63244,30426,Other Business Services,Other Business Services,Mechanical power generators (intermediate),Cars
UY,140,68,121,48,19,20,"Personal, Cultural & Recreational","Telecommunications, computer & information services",Meat & meat preparations,Medicinal & pharmaceutical products
UZ,55,7,24,0,31,7,null,null,Live animals,Other manufactures (consumer)
VA,3,0,1,0,2,0,null,null,Live animals,Scientific instruments (intermediate)
VC,7,0,2,0,5,0,null,null,Live animals,Meat & meat preparations
VE,52,69,17,37,35,32,Transportation,Government,Crude oil,Other manufactures (intermediate)
VG,523,33,11,1,512,32,null,null,Miscellaneous electrical goods (capital),Ships
VI,6,0,0,0,6,0,null,null,Live animals,Live animals
VN,849,4548,618,4373,231,175,null,null,Telecoms & sound equipment (capital),Medicinal & pharmaceutical products
VU,30,3,0,0,30,3,null,null,Live animals,Live animals
WF,0,0,0,0,0,0,null,null,Live animals,Live animals
WS,3,0,0,0,3,0,null,null,Live animals,Live animals
XK,1,0,1,0,0,0,null,null,Live animals,Meat & meat preparations
YE,53,12,25,0,28,12,null,null,Live animals,Cars
ZA,4257,4613,2108,3358,2149,1255,Travel,Transportation,Non-ferrous metals,Cars
ZM,97,13,49,1,48,12,null,null,Vegetables & fruit,Road vehicles other than cars (capital)
ZW,305,158,32,70,273,88,null,null,Mineral manufactures,Road vehicles other than cars (capital)
