AREACD,Totalexport,Totalimport,Goodsexport,Goodsimport,Servicesexport,Servicesimport,topServicesimported,topServicesexported,topGoodsimported,topGoodsexported
AD,52,315,5,2,47,313,null,null,Works of art,Beverages
AE,10610,6322,6857,3683,3753,2639,null,null,Refined oil,Mechanical power generators (intermediate)
AF,216,239,19,0,197,239,null,null,Live animals,Telecoms & sound equipment (capital)
AG,10,128,5,18,5,110,null,null,Ships,Ships
AI,4,1,0,0,4,1,null,null,Live animals,Live animals
AL,12,6,4,1,8,5,"Telecommunications, computer & information services","Personal, Cultural & Recreational",Iron & steel,General industrial machinery (capital)
AM,15,3,4,0,11,3,null,null,Live animals,Toilet & cleansing preparations
AO,611,139,169,82,442,57,null,null,Crude oil,Mechanical power generators (intermediate)
AQ,0,0,0,0,0,0,null,null,Live animals,Live animals
AR,801,766,334,624,467,142,Travel,Travel,Animal feeding stuffs,Medicinal & pharmaceutical products
AS,3,0,0,0,3,0,null,null,Live animals,Live animals
AT,3139,4964,1903,3767,1236,1197,Travel,Financial,Cars,Cars
AU,10497,4753,5006,2112,5491,2641,Travel,Travel,Non-ferrous metals,Cars
AW,19,10,15,0,4,10,null,null,Live animals,Beverages
AZ,664,371,332,283,332,88,null,null,Crude oil,Mechanical power generators (intermediate)
BA,62,58,0,2,62,56,null,null,General industrial machinery (capital),Live animals
BB,515,475,3,5,512,470,null,null,Miscellaneous electrical goods (intermediate),Other manufactures (consumer)
BD,627,2966,271,2736,356,230,null,null,Clothing,Metal ores & scrap
BE,19433,29118,14539,26665,4894,2453,Other Business Services,Other Business Services,Cars,Cars
BF,22,10,9,4,13,6,null,null,Vegetables & fruit,Dairy products & eggs
BG,861,1131,303,441,558,690,Travel,Travel,Cereals,Clothing
BH,690,405,442,354,248,51,null,null,Refined oil,Mechanical power generators (intermediate)
BI,46,0,0,0,46,0,null,null,Live animals,Live animals
BJ,18,0,16,0,2,0,null,null,Live animals,Textile fibres
BM,990,1329,46,14,944,1315,null,null,Ships,Works of art
BN,91,112,28,110,63,2,null,null,Aircraft,Photographic & optical goods & clocks (consumer)
BO,46,15,31,14,15,1,null,null,Vegetables & fruit,Telecoms & sound equipment (capital)
BQ,1,0,1,0,0,0,null,null,Live animals,Miscellaneous electrical goods (intermediate)
BR,3186,2584,2103,1944,1083,640,Travel,Travel,Mechanical power generators (intermediate),Mechanical power generators (intermediate)
BS,111,30,36,1,75,29,null,null,Plastics in primary forms,Refined oil
BT,4,8,0,6,4,2,null,null,Aircraft,Live animals
BV,0,0,0,0,0,0,null,null,Live animals,Live animals
BW,394,20,24,12,370,8,null,null,Meat & meat preparations,Mineral manufactures
BY,142,52,142,45,0,7,"Telecommunications, computer & information services",Manufacturing,Iron & steel,Mechanical power generators (capital)
BZ,15,71,4,70,11,1,null,null,Sugar,Other manufactures (consumer)
CA,10150,8124,6077,6098,4073,2026,Travel,Other Business Services,Unspecified goods,Medicinal & pharmaceutical products
CC,0,0,0,0,0,0,null,null,Live animals,Live animals
CD,79,16,13,0,66,16,null,null,Live animals,Plastics in primary forms
CF,5,1,4,0,1,1,null,null,Live animals,Miscellaneous foods
CG,58,54,13,25,45,29,null,null,Non-ferrous metals,Scientific instruments (capital)
CH,19565,10927,7295,6519,12270,4408,Other Business Services,Other Business Services,Medicinal & pharmaceutical products,Unspecified goods
CI,119,215,58,201,61,14,null,null,"Coffee, tea, cocoa etc",General industrial machinery (capital)
CK,1,0,0,0,1,0,null,null,Live animals,Live animals
CL,813,1062,558,950,255,112,Travel,Transportation,Mechanical power generators (intermediate),Mechanical power generators (intermediate)
CM,101,51,13,44,88,7,null,null,Wood & cork,Beverages
CN,23108,45423,18511,43973,4597,1450,Other Business Services,Transportation,Telecoms & sound equipment (capital),Crude oil
CO,585,594,404,421,181,173,Travel,Travel,Vegetables & fruit,Refined oil
CR,55,354,34,233,21,121,null,null,Vegetables & fruit,Cars
CU,27,166,7,3,20,163,null,null,Beverages,Beverages
CV,0,2,0,0,0,2,null,null,Live animals,Live animals
CW,97,9,7,0,90,9,null,null,Live animals,Beverages
CX,0,0,0,0,0,0,null,null,Live animals,Live animals
CY,1143,1374,283,127,860,1247,Travel,Other Business Services,Dairy products & eggs,Cars
CZ,3149,6709,2101,5806,1048,903,Travel,Travel,Office machinery (capital),Miscellaneous electrical goods (intermediate)
DE,55401,77335,36517,67985,18884,9350,Other Business Services,Financial,Cars,Aircraft
DJ,186,52,3,7,183,45,null,null,"Coffee, tea, cocoa etc",Electric motors (capital)
DK,6693,7856,2664,6604,4029,1252,Other Business Services,Other Business Services,Miscellaneous metal manufactures,Cars
DM,0,0,0,0,0,0,null,null,Live animals,Live animals
DO,99,206,83,97,16,109,null,null,Vegetables & fruit,Beverages
DZ,483,2306,312,2235,171,71,null,null,Crude oil,Medicinal & pharmaceutical products
EC,88,157,66,149,22,8,null,null,Fish & shellfish,Beverages
EE,232,260,145,173,87,87,Travel,Travel,Wood & cork,Specialised machinery (capital)
EG,1898,1145,1226,792,672,353,Travel,Other Business Services,Miscellaneous electrical goods (intermediate),Metal ores & scrap
ER,3,0,2,0,1,0,null,null,Live animals,Specialised machinery (capital)
ES,17638,32290,10388,16613,7250,15677,Travel,Financial,Cars,Cars
ET,354,214,262,167,92,47,null,null,Mechanical power generators (intermediate),Mechanical power generators (intermediate)
FI,2551,2948,1321,2446,1230,502,Other Business Services,Financial,Paper & paperboard,Cars
FJ,48,11,5,8,43,3,null,null,Sugar,Other manufactures (intermediate)
FK,66,10,24,7,42,3,null,null,Meat & meat preparations,Iron & steel
FM,0,0,0,0,0,0,null,null,Live animals,Live animals
FO,37,219,33,218,4,1,null,null,Fish & shellfish,Refined oil
FR,42079,42811,24483,28189,17596,14622,Travel,Financial,Beverages,Aircraft
GA,63,5,16,0,47,5,null,null,Live animals,Meat & meat preparations
GD,6,21,3,0,3,21,null,null,Live animals,General industrial machinery (capital)
GE,75,20,32,5,43,15,null,null,Processed fertilisers,Cars
GH,616,604,345,413,271,191,null,null,Crude oil,Textile fibres
GI,3035,870,346,34,2689,836,null,null,Ships,Cars
GL,11,0,0,0,11,0,null,null,Live animals,Live animals
GM,11,58,7,2,4,56,null,null,Vegetables & fruit,Furniture (consumer)
GN,61,1,11,1,50,0,null,null,Animal feeding stuffs,Dairy products & eggs
GQ,66,23,8,22,58,1,null,null,Gas,Other chemicals
GR,2524,3902,1069,840,1455,3062,Travel,Transportation,Medicinal & pharmaceutical products,Medicinal & pharmaceutical products
GS,0,0,0,0,0,0,null,null,Live animals,Live animals
GT,22,86,15,73,7,13,null,null,Vegetables & fruit,Cars
GU,38,0,0,0,38,0,null,null,Live animals,Live animals
GW,1,0,0,0,1,0,null,null,Live animals,Live animals
GY,187,31,10,26,177,5,null,null,Sugar,Road vehicles other than cars (capital)
HK,11139,9466,8334,6991,2805,2475,Insurance & Pension,Other Business Services,Telecoms & sound equipment (capital),Mechanical power generators (intermediate)
HM,0,0,0,0,0,0,null,null,Live animals,Live animals
HN,4,131,0,128,4,3,null,null,"Coffee, tea, cocoa etc",Live animals
HR,352,769,150,95,202,674,Travel,Transportation,Medicinal & pharmaceutical products,Crude oil
HT,8,3,8,3,0,0,null,null,Clothing,Meat & meat preparations
HU,2137,3640,1378,2725,759,915,Travel,Travel,Road vehicles other than cars (intermediate),Medicinal & pharmaceutical products
ID,1320,1368,677,1103,643,265,Travel,Other Business Services,Footwear,Metal ores & scrap
IE,38304,21879,22211,14115,16093,7764,Other Business Services,Other Business Services,Medicinal & pharmaceutical products,Refined oil
